"","county","population","biden","trump","age65","white","black","hispa","high","coll","lpop","propage","propwhi","prophis","propbla","propbid","proptru","prophig","propcol"
"1","Alachua FL",278475,25,13,11,29,4,2,5,21,5.44478621261786,3.95008528593231e-05,0.00010413861208367,0.367323880479487,0.734647760958974,8.97746655893707e-05,4.66828261064728e-05,1.79549331178741e-05,7.54107190950714e-05
"2","Baker FL",28263,1,2,2,3,0,0,1,2,4.45121825851379,7.07638962601281e-05,0.000106145844390192,0,0,3.5381948130064e-05,7.07638962601281e-05,3.5381948130064e-05,7.07638962601281e-05
"3","Bay FL",175204,9,13,5,18,0,2,2,16,5.243544017118,2.85381612291957e-05,0.000102737380425104,0.381421419076645,0,5.13686902125522e-05,7.41992191959088e-05,1.14152644916783e-05,9.13221159334262e-05
"4","Bradford FL",28306,0,2,0,2,0,0,1,1,4.4518785023335,0,7.06563979368332e-05,0,0,0,7.06563979368332e-05,3.53281989684166e-05,3.53281989684166e-05
"5","Brevard FL",606603,64,64,45,108,11,3,27,78,5.78290455381544,7.41836093787864e-05,0.000178040662509087,0.518770450399474,1.9021583181314,0.000105505577783163,0.000105505577783163,4.45101656272719e-05,0.00012858492292323
"6","Broward FL",1944376,198,72,90,180,35,39,58,164,6.28878025181215,4.6287343600209e-05,9.2574687200418e-05,6.20152055539895,5.56546716510162,0.00010183215592046,3.70298748801672e-05,2.98296214312458e-05,8.43458261159364e-05
"7","Calhoun FL",13644,1,1,1,1,1,0,1,0,4.13494171073536,7.32922896511287e-05,7.32922896511287e-05,0,0.241841377691914,7.32922896511287e-05,7.32922896511287e-05,7.32922896511287e-05,0
"8","Charlotte FL",186850,15,25,13,33,3,1,9,25,5.27149310218566,6.95745250200696e-05,0.000176612255820177,0.189699574791321,0.569098724373963,8.02782981000803e-05,0.000133797163500134,4.81669788600482e-05,0.000133797163500134
"9","Citrus FL",153855,10,28,14,37,0,0,13,20,5.18711161457194,9.09947678008515e-05,0.000240486172045107,0,0,6.49962627148939e-05,0.000181989535601703,8.44951415293621e-05,0.000129992525429788
"10","Clay FL",218250,12,21,15,24,4,3,7,13,5.33895425237761,6.87285223367698e-05,0.000109965635738832,0.561907792834899,0.749210390446532,5.49828178694158e-05,9.62199312714777e-05,3.20733104238259e-05,5.95647193585338e-05
"11","Collier FL",375760,19,16,17,30,1,4,6,23,5.57491054717519,4.52416436022993e-05,7.9838194592293e-05,0.71750030178095,0.179375075445237,5.05641899084522e-05,4.25803704492229e-05,1.59676389184586e-05,6.12092825207579e-05
"12","Columbia FL",69701,7,9,5,15,0,1,3,11,4.8432390089641,7.17349822814594e-05,0.000215204946844378,0.206473394798223,0,0.000100428975194043,0.000129122968106627,4.30409893688756e-05,0.000157816961019211
