countyname,educ,race,birthyr,CC20_410
New Haven CT,4,1,1966,2
Broward FL,6,1,1955,NA
Dallas IA,5,1,1946,1
Franklin MA,5,1,1962,1
Cook IL,5,1,1967,4
Columbiana OH,3,1,1961,2
Fredericksburg city VA,3,2,1950,NA
Yankton SD,3,1,1947,2
Tuscarawas OH,2,1,1970,2
Erie NY,5,1,1963,1
Hampton city VA,5,1,1966,1
Smith TX,5,1,1961,1
Bartholomew IN,3,1,1959,1
Los Angeles CA,4,1,1959,1
Kent MI,3,1,1960,2
Cherokee GA,4,1,1961,2
Perry AR,4,1,1950,2
McLean IL,5,2,1946,1
East Baton Rouge Parish LA,6,2,1963,1
Norfolk MA,5,1,1984,1
Pierce WA,5,1,1984,1
Liberty GA,3,2,1972,2
Pinal AZ,3,1,1948,1
Johnson KS,6,1,1950,1
Los Angeles CA,6,1,1934,1
San Mateo CA,3,1,1971,NA
San Diego CA,3,1,1957,NA
Fairfield CT,3,1,1978,1
Pierce WA,2,1,1964,2
Summit OH,4,1,1946,NA
Jackson MO,3,1,1948,2
St. Louis MO,5,1,1954,1
Boyle KY,5,1,1987,NA
Brevard FL,4,1,1963,1
Middlesex MA,2,1,1946,2
Grant WA,5,1,1950,2
Floyd IA,4,1,1981,NA
Stark OH,3,1,1971,1
Hillsborough NH,4,1,1959,2
Jefferson AL,6,2,1965,1
Erie NY,4,1,1963,2
Marion IN,3,1,1953,1
Oconee SC,6,1,1987,2
Champaign IL,3,1,1953,4
James City VA,6,1,1948,2
Jackson MO,5,7,1973,4
Arapahoe CO,6,1,1951,1
Conway AR,6,1,1959,1
Pinal AZ,6,1,1953,1
Harris TX,6,1,1958,1
Pinellas FL,5,1,1954,2
Salt Lake UT,5,1,1967,4
Pasco FL,2,1,1945,2
Lorain OH,4,1,1956,1
Dallas TX,6,1,1970,2
Will IL,6,1,1985,NA
Collin TX,5,1,1967,1
Benton WA,5,1,1986,2
Waukesha WI,5,3,1993,NA
Baltimore MD,6,1,1951,1
Los Angeles CA,5,3,1971,2
Robeson NC,2,1,1968,NA
Los Angeles CA,6,1,1983,NA
Dallas TX,2,1,1954,1
Dallas TX,3,1,1958,1
Saginaw MI,5,3,1959,1
Dallas TX,2,1,1963,2
Alameda CA,5,1,1943,1
DeKalb GA,6,6,1966,2
Benton WA,5,1,1986,NA
Hampden MA,5,1,1986,4
Adams CO,6,1,1994,1
Henry AL,4,1,1966,2
Cache UT,6,1,1996,1
Wayne MI,4,1,1963,2
Monroe NY,6,1,1955,2
Mecklenburg NC,3,1,1978,2
Cook IL,6,1,1950,1
Nash NC,4,1,1965,2
Scott MN,5,1,1958,2
Seminole FL,6,3,1955,1
Ontario NY,6,1,1988,NA
Emmet MI,5,1,1990,NA
Dunn WI,3,1,1952,2
San Diego CA,6,7,1994,NA
Allegan MI,4,1,1958,1
Los Angeles CA,6,4,1944,4
Broward FL,3,1,1947,1
Manatee FL,3,1,1964,1
Hickory MO,6,1,1953,2
Sarasota FL,3,1,1948,2
Spokane WA,6,1,1987,4
Pima AZ,4,1,1961,2
Anne Arundel MD,6,3,1941,1
Mecklenburg NC,3,1,1964,2
Washington OR,5,7,1993,1
Worcester MA,5,3,1950,1
Dallas TX,3,1,1966,1
Marion OR,6,1,1965,2
Orange CA,5,1,1993,2
Multnomah OR,2,1,1945,1
Clark NV,1,1,1956,NA
Peach GA,2,1,1957,2
Beaufort NC,2,2,1957,1
Elkhart IN,2,1,1938,2
Oklahoma OK,1,1,1952,NA
Fairfield CT,5,1,1956,2
San Bernardino CA,3,3,1964,1
Kings NY,6,1,1950,1
San Diego CA,5,1,1958,2
Honolulu HI,5,4,1997,NA
Chesapeake city VA,3,2,1957,1
Williams OH,3,1,1982,NA
DuPage IL,6,4,1986,1
Baltimore MD,4,1,1948,2
Providence RI,6,1,1982,2
Wells IN,5,1,1958,2
Lawrence SD,5,1,1951,1
Summit OH,2,1,1964,1
Lane OR,5,1,1954,1
Culpeper VA,6,1,1971,2
Washington OR,5,1,1989,1
Brunswick NC,3,1,1960,2
Suffolk NY,3,1,1960,1
Routt CO,5,1,1965,2
Marion OR,3,1,1958,1
Albany NY,6,1,1987,1
Charles MD,2,1,1957,2
Multnomah OR,5,1,1965,1
San Diego CA,4,1,1961,1
Santa Fe NM,6,1,1946,1
King WA,5,1,1941,1
Baldwin AL,3,1,1940,2
Montrose CO,2,1,1951,1
Essex MA,6,1,1953,2
New York NY,6,3,1985,1
Norfolk city VA,2,1,1957,2
Clark IN,5,1,1964,1
Denver CO,5,1,1958,2
Berkeley WV,3,1,1957,1
Pima AZ,4,1,1954,2
Queens NY,5,1,1990,2
Jackson IL,6,1,1941,1
Calhoun AL,3,1,1954,1
Fairfax VA,3,1,1953,2
Lee MS,5,1,1948,2
New York NY,6,1,1948,1
Oneida NY,6,7,1966,1
Waldo ME,6,1,1946,1
Tarrant TX,3,1,1954,2
Richmond NY,5,1,1979,2
DuPage IL,5,1,1944,1
Woodbury IA,2,1,1960,1
Tippecanoe IN,6,1,1959,1
Orange CA,3,1,1944,2
Hillsborough FL,3,1,1948,1
Franklin OH,5,1,1947,1
Madison IL,4,1,1952,2
Queens NY,6,4,1986,1
Johnson IA,2,1,1951,1
Marion OR,2,1,1936,2
Mower MN,3,1,1964,2
Elmore AL,5,1,1946,1
Nassau FL,3,1,1947,2
Snohomish WA,2,1,1945,1
Douglas WI,6,7,1950,1
Osceola FL,3,3,1943,1
DuPage IL,2,1,1951,2
Alachua FL,3,1,1958,2
Cook IL,5,1,1958,1
Guilford NC,5,2,1962,1
Cook IL,5,1,1945,2
Norfolk MA,5,1,1943,1
Hillsborough FL,5,1,1940,1
Black Hawk IA,5,1,1963,1
Creek OK,5,1,1951,2
Palm Beach FL,5,1,1954,1
Sonoma CA,5,1,1943,1
Hampshire MA,6,1,1952,1
Franklin OH,6,1,1952,1
Los Angeles CA,5,1,1948,1
Yellowstone MT,6,1,1952,1
Berrien MI,5,1,1952,1
Tarrant TX,5,1,1959,2
Smith TX,4,1,1968,NA
Shelby TN,5,1,1945,1
Kane IL,6,1,1949,1
Winnebago IL,5,1,1943,NA
Orange FL,5,1,1949,2
Ventura CA,6,1,1936,1
Carroll AR,6,1,1947,1
Colonial Heights city VA,6,1,1949,1
Lauderdale AL,5,1,1943,1
Sanilac MI,3,1,1954,NA
Lane OR,5,4,1967,1
Alameda CA,5,1,1942,NA
Summit OH,5,7,1943,2
Niagara NY,6,1,1955,2
Tarrant TX,6,1,1946,2
Polk FL,3,1,1957,1
Harris TX,6,1,1953,1
Albany NY,6,1,1951,1
Riverside CA,5,1,1959,1
Allegany NY,5,1,1945,2
Los Angeles CA,6,3,1956,1
Washoe NV,4,1,1960,1
Ellis TX,6,1,1954,NA
Sheboygan WI,3,1,1951,1
Iredell NC,4,1,1948,1
Shelby TN,4,1,1949,2
San Luis Obispo CA,6,1,1944,1
Lincoln OR,3,1,1943,2
Douglas KS,6,1,1930,1
Jefferson AL,6,1,1985,NA
Douglas NV,3,1,1954,NA
King WA,6,1,1932,1
New Castle DE,5,1,1968,2
Multnomah OR,6,1,1968,1
Cook IL,6,1,1944,1
Knox TN,6,1,1952,1
Fresno CA,6,1,1973,1
Polk IA,6,1,1958,2
Hampshire MA,5,1,1953,1
La Porte IN,5,1,1956,2
Smith TX,6,1,1946,2
Passaic NJ,6,1,1980,2
Alameda CA,3,7,1969,4
Contra Costa CA,3,1,1939,1
Wilkinson MS,3,1,1954,2
Lee GA,5,1,1961,2
Cook IL,5,1,1947,1
Harris TX,5,1,1963,2
Calaveras CA,4,1,1947,1
Beaufort NC,4,1,1948,2
Carteret NC,6,1,1971,4
Missoula MT,3,1,1954,2
El Paso TX,4,1,1955,1
Middlesex MA,5,1,1965,NA
Contra Costa CA,5,1,1953,2
